,1y,6m
AAPL,16.8674102466031,-5.955396243642363
ABNB,-5.651998263050999,2.5555325947615457
ACGL,-1.8051782343154275,-3.5405792600932364
ADBE,-17.60144584055396,-19.665238178139795
ADI,11.222757042921277,1.2534180364087544
ADP,27.528142953982243,2.20116509350471
ADSK,36.387015630501466,-2.7981371453340245
AEP,12.76421265006176,5.173955955583875
AFRM,70.75023224490285,16.049912129826428
AKAM,-13.433490154659427,-11.670582952482542
ALAB,25.228310278583937,-11.621350010948527
ALGN,-29.915351632797062,-13.64563833271413
ALNY,77.35095579626095,-3.8099728231516035
AMAT,-16.803943863597045,-9.474355125083234
AMD,-25.974196656183786,-23.98783277851983
AMGN,-10.142118142537516,-15.514255297384452
AMZN,12.742692518708662,1.5323290199045918
APP,328.207803768054,27.616286900792254
ARCC,13.048915986061088,5.777341662505138
ARM,16.391036905129415,-14.103604573456929
ASML,-17.325471910615576,14.671381644077172
AUR,127.32919585782523,30.481283377006573
AVGO,76.51664214704932,27.285951134234615
AZN,-10.456766331922658,6.50845143179068
BIDU,-16.169709858334517,2.3943314695804045
BIIB,-44.397289543065746,-28.825700161432422
BKR,20.78184935168498,-10.256276447013438
BMRN,-26.22485538705125,-10.86924250588585
BSY,-12.769204619392804,-0.6207300348428763
CART,26.817410174193235,-7.14585029376046
CCEP,20.41495202327482,14.138354908024734
CDNS,10.845968931476108,5.779254327671162
CDW,-13.235172918251303,-3.9420534720143037
CEG,36.563855806131194,22.2057014539463
CG,11.497188828889811,-10.940745630958325
CHRW,19.36914776415753,-10.223483526996672
CHTR,49.20341974092563,4.4245799715047305
CMCSA,-8.527328493567818,-19.37905895280178
CME,34.683053961509565,23.062101823133176
COIN,27.86183368390627,-5.111914322634634
COO,-13.718868411706788,-21.19517866387425
COST,27.56706169745529,6.106908876820273
CPRT,13.9751506697358,11.172488555058312
CRDO,234.1063273484877,23.062499364217125
CRWD,37.23656278994362,33.38181796661736
CRWV,,
CSCO,32.40812354124446,7.847512221303991
CSGP,-16.355137291332277,-2.8556649462491945
CSX,-9.871201439921249,-14.540386047219132
CTAS,23.94875541962521,-4.250043543164455
CTSH,23.238017514891915,1.940270097831728
DASH,72.23964590679383,15.402572984464344
DDOG,-1.395312805813859,-5.73724352329065
